"Statistic Label","Census Year","Province","Intercensal period","UNIT","VALUE"
"Net migration","2022","State","2011 - 2016","Number","-24669"
"Net migration","2022","State","2016 - 2022","Number","219787"
"Net migration","2022","Connacht","1926 - 1936","Number","-54577"
"Net migration","2022","Connacht","1936 - 1946","Number","-52454"
"Net migration","2022","Connacht","1946 - 1951","Number","-36143"
"Net migration","2022","Connacht","1951 - 1956","Number","-40031"
"Net migration","2022","Connacht","1956 - 1961","Number","-39515"
"Net migration","2022","Connacht","1961 - 1966","Number","-27826"
"Net migration","2022","Connacht","1966 - 1971","Number","-19754"
"Net migration","2022","Connacht","1971 - 1979","Number","7730"
"Net migration","2022","Connacht","1979 - 1981","Number","-362"
"Net migration","2022","Connacht","1981 - 1986","Number","-7201"
"Net migration","2022","Connacht","1986 - 1991","Number","-16960"
"Net migration","2022","Connacht","1991 - 1996","Number","5647"
"Net migration","2022","Connacht","1996 - 2002","Number","24097"
"Net migration","2022","Connacht","2002 - 2006","Number","29061"
"Net migration","2022","Connacht","2006 - 2011","Number","17121"
"Net migration","2022","Connacht","2011 - 2016","Number","-10436"
"Net migration","2022","Connacht","2016 - 2022","Number","25452"
"Net migration","2022","Leinster","1926 - 1936","Number","-4283"
"Net migration","2022","Leinster","1936 - 1946","Number","-36641"
"Net migration","2022","Leinster","1946 - 1951","Number","-14802"
"Net migration","2022","Leinster","1951 - 1956","Number","-76094"
"Net migration","2022","Leinster","1956 - 1961","Number","-87646"
"Net migration","2022","Leinster","1961 - 1966","Number","-10443"
"Net migration","2022","Leinster","1966 - 1971","Number","-12204"
"Net migration","2022","Leinster","1971 - 1979","Number","70970"
"Net migration","2022","Leinster","1979 - 1981","Number","-1801"
"Net migration","2022","Leinster","1981 - 1986","Number","-40661"
"Net migration","2022","Leinster","1986 - 1991","Number","-67696"
"Net migration","2022","Leinster","1991 - 1996","Number","1075"
"Net migration","2022","Leinster","1996 - 2002","Number","87932"
"Net migration","2022","Leinster","2002 - 2006","Number","105785"
"Net migration","2022","Leinster","2006 - 2011","Number","70783"
"Net migration","2022","Leinster","2011 - 2016","Number","4415"
"Net migration","2022","Leinster","2016 - 2022","Number","128302"
"Net migration","2022","Munster","1926 - 1936","Number","-78269"
"Net migration","2022","Munster","1936 - 1946","Number","-71699"
"Net migration","2022","Munster","1946 - 1951","Number","-52818"
"Net migration","2022","Munster","1951 - 1956","Number","-56673"
"Net migration","2022","Munster","1956 - 1961","Number","-61400"
"Net migration","2022","Munster","1961 - 1966","Number","-27166"
"Net migration","2022","Munster","1966 - 1971","Number","-15077"
"Net migration","2022","Munster","1971 - 1979","Number","23642"
"Net migration","2022","Munster","1979 - 1981","Number","-2481"
"Net migration","2022","Munster","1981 - 1986","Number","-20411"
"Net migration","2022","Munster","1986 - 1991","Number","-39486"
"Net migration","2022","Munster","1991 - 1996","Number","3480"
"Net migration","2022","Munster","1996 - 2002","Number","35006"
"Net migration","2022","Munster","2002 - 2006","Number","41386"
"Net migration","2022","Munster","2006 - 2011","Number","17981"
"Net migration","2022","Munster","2011 - 2016","Number","-11085"
"Net migration","2022","Munster","2016 - 2022","Number","57169"
"Net migration","2022","Ulster (part of)","1926 - 1936","Number","-29622"
"Net migration","2022","Ulster (part of)","1936 - 1946","Number","-26317"
"Net migration","2022","Ulster (part of)","1946 - 1951","Number","-18726"
"Net migration","2022","Ulster (part of)","1951 - 1956","Number","-23965"
"Net migration","2022","Ulster (part of)","1956 - 1961","Number","-23442"
"Net migration","2022","Ulster (part of)","1961 - 1966","Number","-15170"
"Net migration","2022","Ulster (part of)","1966 - 1971","Number","-6871"
"Net migration","2022","Ulster (part of)","1971 - 1979","Number","6592"
"Net migration","2022","Ulster (part of)","1979 - 1981","Number","-401"
"Net migration","2022","Ulster (part of)","1981 - 1986","Number","-3610"
"Net migration","2022","Ulster (part of)","1986 - 1991","Number","-10028"
"Net migration","2022","Ulster (part of)","1991 - 1996","Number","-1900"
"Net migration","2022","Ulster (part of)","1996 - 2002","Number","6846"
"Net migration","2022","Ulster (part of)","2002 - 2006","Number","15099"
"Net migration","2022","Ulster (part of)","2006 - 2011","Number","16407"
"Net migration","2022","Ulster (part of)","2011 - 2016","Number","-7563"
"Net migration","2022","Ulster (part of)","2016 - 2022","Number","8864"
